MES/AÑO,TIPO CLIENTES,PRODUCTO,PRECIO POR TON (USD),MARCA,INVERSION,% TIENDAS IMPACTADAS,DIAS HABILES,TEMPERATURA,INFLACION,VENTAS (TON),VENTAS (PESOS),INVERSION (PESOS),INGRESOS,HWES3_MUL
2018-06-01,CLIENTES GRANDES,A2,16129.09,MARCA2,0.2212,1.0,20,16.4,1.24,57.205,922664.59,204093.41,718571.18,807673.9001351793
2018-07-01,CLIENTES GRANDES,A2,16200.82,MARCA2,0.2916,1.0,22,15.7,1.64,43.889,711037.79,207338.62,503699.17,689348.1831470543
2018-08-01,CLIENTES GRANDES,A2,15952.03,MARCA2,0.2681,1.0,22,15.3,1.81,53.233,849174.41,227663.66,621510.75,820294.9653108238
2018-09-01,CLIENTES GRANDES,A2,16025.89,MARCA2,0.2497,1.0,20,15.7,2.01,67.975,1089359.87,272013.16,817346.71,1016762.9108851015
2018-10-01,CLIENTES GRANDES,A2,14609.19,MARCA2,0.3516,1.0,22,16.7,2.14,23.373,341460.6,120057.55,221403.05,314350.4601904988
2018-11-01,CLIENTES GRANDES,A2,16005.94,MARCA2,0.2723,1.0,21,18.0,2.29,57.471,919877.38,250482.61,669394.77,852377.9788724117
2018-12-01,CLIENTES GRANDES,A2,17453.13,MARCA2,0.3144,1.0,20,19.6,2.48,39.786,694390.23,218316.29,476073.94,644206.0465229964
2019-01-01,CLIENTES GRANDES,A2,15686.01,MARCA2,0.3828,1.0,22,22.2,0.06,32.361,507614.97,194315.01,313299.96,473211.7752989968
2019-02-01,CLIENTES GRANDES,A2,15416.22,MARCA2,0.3416,1.0,20,23.0,0.2,45.171,696366.07,237878.65,458487.42,655234.6715478583
2019-03-01,CLIENTES GRANDES,A2,16502.22,MARCA2,0.2714,1.0,21,22.5,0.88,60.795,1003252.46,272282.72,730969.74,969769.4355646843
2019-04-01,CLIENTES GRANDES,A2,15655.23,MARCA2,0.3512,1.0,20,20.9,1.1,29.523,462189.36,162320.9,299868.46,449402.41246584605
2019-05-01,CLIENTES GRANDES,A2,16190.09,MARCA2,0.2774,1.0,22,18.5,1.19,50.343,815057.7,226097.01,588960.69,795168.7224508879
2019-06-01,CLIENTES GRANDES,A2,15983.06,MARCA2,0.3452,1.0,20,16.4,1.13,47.63,761273.15,262791.49,498481.66,749027.841500577
2019-07-01,CLIENTES GRANDES,A2,16281.81,MARCA2,0.3287,1.0,22,15.7,1.36,41.569,676818.56,222470.26,454348.3,638884.446433974
2019-08-01,CLIENTES GRANDES,A2,16439.18,MARCA2,0.3212,1.0,21,15.3,1.48,37.128,610353.88,196045.67,414308.21,760351.8818341963
2019-09-01,CLIENTES GRANDES,A2,16193.56,MARCA2,0.3135,1.0,21,15.7,1.51,46.896,759413.19,238076.04,521337.15,941371.1996094446
2019-10-01,CLIENTES GRANDES,A2,16569.52,MARCA2,0.3951,1.0,22,16.7,1.65,28.188,467061.63,184536.05,282525.58,290657.17368200526
2019-11-01,CLIENTES GRANDES,A2,15337.05,MARCA2,0.381,1.0,20,18.0,1.76,41.154,631180.96,240479.95,390701.01,790182.9980978828
2019-12-01,CLIENTES GRANDES,A2,17408.67,MARCA2,0.323,1.0,21,19.6,1.88,42.456,739102.49,238730.1,500372.39,596363.6915743975
2020-01-01,CLIENTES GRANDES,A2,16783.55,MARCA2,0.5127,1.0,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
2020-02-01,CLIENTES GRANDES,A2,16166.3,MARCA2,0.3424,1.0,20,23.0,0.17,0.0,0.0,0.0,0.0,548152.7498621818
2020-03-01,CLIENTES GRANDES,A2,15250.34,MARCA2,0.4055,1.0,22,22.5,0.78,0.0,0.0,0.0,0.0,964045.1490658846
2020-04-01,CLIENTES GRANDES,A2,16783.55,MARCA2,0.5127,1.0,22,20.9,0.82,0.0,0.0,0.0,0.0,845982.6003106326
2020-05-01,CLIENTES GRANDES,A2,16166.3,MARCA2,0.3424,1.0,20,18.5,0.96,0.0,0.0,0.0,0.0,939911.531435352
2020-06-01,CLIENTES GRANDES,A2,15250.34,MARCA2,0.4055,1.0,22,16.4,1.1,0.0,0.0,0.0,0.0,1608941.819639035
2018-01-01,CLIENTES GRANDES,A3,17422.3,MARCA2,0.2552,0.84,22,22.2,0.18,2.553,44479.13,11351.07,33128.06,48650.39994976495
2018-02-01,CLIENTES GRANDES,A3,17186.17,MARCA2,0.2253,0.84,20,23.0,0.48,3.957,68005.67,15321.68,52683.99,56052.75745429038
2018-03-01,CLIENTES GRANDES,A3,17242.35,MARCA2,0.2118,0.87,20,22.5,0.97,3.278,56520.42,11971.02,44549.4,38428.52552456569
2018-04-01,CLIENTES GRANDES,A3,17219.39,MARCA2,0.2832,0.88,21,20.9,0.84,3.311,57013.4,16146.19,40867.21,47965.04206184275
2018-05-01,CLIENTES GRANDES,A3,17204.57,MARCA2,0.2716,0.86,22,18.5,0.88,2.997,51562.1,14004.27,37557.83,54862.60083456355
2018-06-01,CLIENTES GRANDES,A3,17564.15,MARCA2,0.2341,0.86,20,16.4,1.24,3.679,64618.51,15127.19,49491.32,62835.589010211595
2018-07-01,CLIENTES GRANDES,A3,17450.13,MARCA2,0.2855,0.87,22,15.7,1.64,2.683,46818.7,13366.74,33451.96,46990.21345211802
2018-08-01,CLIENTES GRANDES,A3,17046.14,MARCA2,0.28,0.87,22,15.3,1.81,3.475,59235.34,16585.9,42649.44,60006.05892173849
2018-09-01,CLIENTES GRANDES,A3,17734.58,MARCA2,0.2375,0.88,20,15.7,2.01,2.798,49621.35,11785.07,37836.28,51554.125015978054
2018-10-01,CLIENTES GRANDES,A3,15038.1,MARCA2,0.2909,0.84,22,16.7,2.14,1.684,25324.16,7366.8,17957.36,26886.005380273426
2018-11-01,CLIENTES GRANDES,A3,19323.47,MARCA2,0.2757,0.83,21,18.0,2.29,4.361,84269.65,23233.14,61036.51,89875.1073229914
2018-12-01,CLIENTES GRANDES,A3,18181.97,MARCA2,0.29,0.87,20,19.6,2.48,2.934,53345.9,15470.31,37875.59,56947.249048411046
2019-01-01,CLIENTES GRANDES,A3,16710.75,MARCA2,0.1934,0.86,22,22.2,0.06,2.753,46004.69,8897.31,37107.38,47536.6308002887
2019-02-01,CLIENTES GRANDES,A3,17846.58,MARCA2,0.1953,0.85,20,23.0,0.2,3.014,53789.59,10505.11,43284.48,58947.41270922884
2019-03-01,CLIENTES GRANDES,A3,17111.34,MARCA2,0.1715,0.84,21,22.5,0.88,2.191,37490.95,6429.7,31061.25,42807.30412155587
2019-04-01,CLIENTES GRANDES,A3,16778.18,MARCA2,0.1708,0.85,20,20.9,1.1,2.863,48035.93,8204.54,39831.39,49924.979651729984
2019-05-01,CLIENTES GRANDES,A3,17132.85,MARCA2,0.177,0.85,22,18.5,1.19,3.156,54071.27,9570.61,44500.66,53667.80111373176
2019-06-01,CLIENTES GRANDES,A3,17054.86,MARCA2,0.1795,0.84,20,16.4,1.13,3.526,60135.44,10794.31,49341.13,62862.651590799454
2019-07-01,CLIENTES GRANDES,A3,17008.58,MARCA2,0.1591,0.83,22,15.7,1.36,3.775,64207.39,10215.4,53991.99,46621.844123357485
2019-08-01,CLIENTES GRANDES,A3,17037.5,MARCA2,0.1755,0.83,21,15.3,1.48,3.488,59426.8,10429.4,48997.4,59512.47877029945
2019-09-01,CLIENTES GRANDES,A3,17009.03,MARCA2,0.1821,0.82,21,15.7,1.51,4.205,71522.97,13024.33,58498.64,50818.49004851919
2019-10-01,CLIENTES GRANDES,A3,17012.31,MARCA2,0.1912,0.83,22,16.7,1.65,2.374,40387.22,7722.04,32665.18,26423.938867487155
2019-11-01,CLIENTES GRANDES,A3,16954.07,MARCA2,0.1808,0.84,20,18.0,1.76,2.882,48861.63,8834.18,40027.45,88493.99970172398
2019-12-01,CLIENTES GRANDES,A3,17182.57,MARCA2,0.1892,0.85,21,19.6,1.88,2.909,49984.1,9456.99,40527.11,55951.736019843585
2020-01-01,CLIENTES GRANDES,A3,16984.21,MARCA2,0.1848,0.84,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
2020-02-01,CLIENTES GRANDES,A3,17027.0,MARCA2,0.1667,0.83,20,23.0,0.17,0.0,0.0,0.0,0.0,548152.7498621818
2020-03-01,CLIENTES GRANDES,A3,16588.11,MARCA2,0.175,0.82,22,22.5,0.78,0.0,0.0,0.0,0.0,964045.1490658846
2020-04-01,CLIENTES GRANDES,A3,16984.21,MARCA2,0.1848,0.84,22,20.9,0.82,0.0,0.0,0.0,0.0,845982.6003106326
2020-05-01,CLIENTES GRANDES,A3,17027.0,MARCA2,0.1667,0.83,20,18.5,0.96,0.0,0.0,0.0,0.0,939911.531435352
2020-06-01,CLIENTES GRANDES,A3,16588.11,MARCA2,0.175,0.82,22,16.4,1.1,0.0,0.0,0.0,0.0,1608941.819639035
2018-01-01,CLIENTES GRANDES,A4,13909.82,MARCA1,0.2642,0.99,22,22.2,0.18,36.454,507068.58,133967.52,373101.06,367956.9331018646
2018-02-01,CLIENTES GRANDES,A4,13835.55,MARCA1,0.2437,1.0,20,23.0,0.48,41.667,576485.86,140489.6,435996.26,441715.1516110069
2018-03-01,CLIENTES GRANDES,A4,13485.25,MARCA1,0.2329,1.0,20,22.5,0.97,34.622,466886.33,108737.83,358148.5,587924.6848731195
2018-04-01,CLIENTES GRANDES,A4,14531.94,MARCA1,0.2293,1.0,21,20.9,0.84,37.178,540268.47,123883.56,416384.91,339844.3774293139
2018-05-01,CLIENTES GRANDES,A4,13923.89,MARCA1,0.2935,1.0,22,18.5,0.88,32.327,450117.59,132109.51,318008.08,741572.6124817977
2018-06-01,CLIENTES GRANDES,A4,13341.5,MARCA1,0.3161,1.0,20,16.4,1.24,46.849,625035.93,197573.86,427462.07,840885.9917618118
2018-07-01,CLIENTES GRANDES,A4,14233.95,MARCA1,0.3238,1.0,22,15.7,1.64,48.412,689093.99,223128.63,465965.36,658312.5156742026
2018-08-01,CLIENTES GRANDES,A4,13403.6,MARCA1,0.323,1.0,22,15.3,1.81,66.431,890414.55,287603.9,602810.65,864458.3130131923
2018-09-01,CLIENTES GRANDES,A4,14152.09,MARCA1,0.2856,1.0,20,15.7,2.01,65.685,929580.03,265488.06,664091.97,902798.4152133304
2018-10-01,CLIENTES GRANDES,A4,12210.58,MARCA1,0.3883,1.0,22,16.7,2.14,23.556,287632.42,111687.67,175944.75,280980.67180291965
2018-11-01,CLIENTES GRANDES,A4,15783.62,MARCA1,0.3349,1.0,21,18.0,2.29,42.474,670393.48,224514.78,445878.7,649397.3515478998
2018-12-01,CLIENTES GRANDES,A4,14035.08,MARCA1,0.3404,1.0,20,19.6,2.48,44.852,629501.41,214282.28,415219.13,585715.9549362925
2019-01-01,CLIENTES GRANDES,A4,13137.49,MARCA1,0.4016,1.0,22,22.2,0.06,30.281,397816.33,159763.04,238053.29,368593.03378085006
2019-02-01,CLIENTES GRANDES,A4,14220.98,MARCA1,0.3475,1.0,20,23.0,0.2,31.899,453635.04,157638.18,295996.86,437220.983496912
2019-03-01,CLIENTES GRANDES,A4,14068.8,MARCA1,0.234,1.0,21,22.5,0.88,40.767,573542.77,134209.01,439333.76,575706.2155943763
2019-04-01,CLIENTES GRANDES,A4,13975.0,MARCA1,0.3851,1.0,20,20.9,1.1,24.316,339816.1,130863.18,208952.92,335545.87683114625
2019-05-01,CLIENTES GRANDES,A4,13620.07,MARCA1,0.3073,1.0,22,18.5,1.19,55.414,754742.56,231932.39,522810.17,715467.4415816736
2019-06-01,CLIENTES GRANDES,A4,14143.51,MARCA1,0.347,1.0,20,16.4,1.13,63.12,892738.35,309780.21,582958.14,826198.2268368826
2019-07-01,CLIENTES GRANDES,A4,13957.44,MARCA1,0.3329,1.0,22,15.7,1.36,35.756,499062.22,166137.81,332924.41,655730.0655499267
2019-08-01,CLIENTES GRANDES,A4,13949.73,MARCA1,0.369,1.0,21,15.3,1.48,37.555,523882.11,193312.5,330569.61,851157.7725580444
2019-09-01,CLIENTES GRANDES,A4,13805.96,MARCA1,0.3142,1.0,21,15.7,1.51,52.199,720657.31,226430.53,494226.78,874054.3801530926
2019-10-01,CLIENTES GRANDES,A4,14053.43,MARCA1,0.3797,1.0,22,16.7,1.65,49.406,694323.76,263634.73,430689.03,269784.24813871353
2019-11-01,CLIENTES GRANDES,A4,13418.62,MARCA1,0.3926,1.0,20,18.0,1.76,61.054,819260.43,321641.64,497618.79,662489.0226060677
2019-12-01,CLIENTES GRANDES,A4,14412.53,MARCA1,0.3699,1.0,21,19.6,1.88,57.95,835206.11,308942.74,526263.37,602450.0006698914
2020-01-01,CLIENTES GRANDES,A4,14387.94,MARCA1,0.3935,1.0,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
2020-02-01,CLIENTES GRANDES,A4,13801.67,MARCA1,0.2687,1.0,20,23.0,0.17,0.0,0.0,0.0,0.0,548152.7498621818
2020-03-01,CLIENTES GRANDES,A4,13346.94,MARCA1,0.2596,1.0,22,22.5,0.78,0.0,0.0,0.0,0.0,964045.1490658846
2020-04-01,CLIENTES GRANDES,A4,14387.94,MARCA1,0.3935,1.0,22,20.9,0.82,0.0,0.0,0.0,0.0,845982.6003106326
2020-05-01,CLIENTES GRANDES,A4,13801.67,MARCA1,0.2687,1.0,20,18.5,0.96,0.0,0.0,0.0,0.0,939911.531435352
2020-06-01,CLIENTES GRANDES,A4,13346.94,MARCA1,0.2596,1.0,22,16.4,1.1,0.0,0.0,0.0,0.0,1608941.819639035
2018-01-01,CLIENTES GRANDES,A5,16142.56,MARCA3,0.2246,0.94,22,22.2,0.18,13.793,222654.33,50008.16,172646.17,282626.0155214001
2018-02-01,CLIENTES GRANDES,A5,15634.42,MARCA3,0.2508,0.94,20,23.0,0.48,20.971,327869.42,82229.65,245639.77,352119.3220178815
2018-03-01,CLIENTES GRANDES,A5,16070.42,MARCA3,0.2431,0.95,20,22.5,0.97,23.677,380499.33,92499.39,287999.94,493131.24809466803
2018-04-01,CLIENTES GRANDES,A5,16075.52,MARCA3,0.2772,0.95,21,20.9,0.84,20.502,329580.31,91359.66,238220.65,225082.1833418607
2018-05-01,CLIENTES GRANDES,A5,15667.79,MARCA3,0.2407,0.95,22,18.5,0.88,30.89,483978.03,116493.51,367484.52,305676.87377545354
2018-06-01,CLIENTES GRANDES,A5,16314.0,MARCA3,0.256,0.94,20,16.4,1.24,19.549,318922.39,81644.13,237278.26,346885.36028053676
2018-07-01,CLIENTES GRANDES,A5,15961.42,MARCA3,0.2461,0.94,22,15.7,1.64,22.639,361350.59,88928.38,272422.21,365119.2713520146
2018-08-01,CLIENTES GRANDES,A5,15970.93,MARCA3,0.2461,0.94,22,15.3,1.81,19.603,313078.14,77048.53,236029.61,312359.7222292019
2018-09-01,CLIENTES GRANDES,A5,16272.67,MARCA3,0.27,0.94,20,15.7,2.01,30.047,488944.92,132015.13,356929.79,479177.612917514
2018-10-01,CLIENTES GRANDES,A5,14297.77,MARCA3,0.2587,0.94,22,16.7,2.14,11.252,160878.51,41619.27,119259.24,157319.13146870857
2018-11-01,CLIENTES GRANDES,A5,18515.17,MARCA3,0.2461,0.93,21,18.0,2.29,17.747,328588.72,80865.68,247723.04,332090.8869079154
2018-12-01,CLIENTES GRANDES,A5,16797.53,MARCA3,0.2632,0.94,20,19.6,2.48,13.854,232712.98,61250.06,171462.92,239055.40798802287
2019-01-01,CLIENTES GRANDES,A5,15767.03,MARCA3,0.3062,0.93,22,22.2,0.06,16.409,258721.2,79220.43,179500.77,264715.8949561592
2019-02-01,CLIENTES GRANDES,A5,15969.92,MARCA3,0.2692,0.93,20,23.0,0.2,20.747,331327.93,89193.48,242134.45,335856.73087294074
2019-03-01,CLIENTES GRANDES,A5,16987.9,MARCA3,0.2665,0.93,21,22.5,0.88,27.456,466419.78,124300.87,342118.91,474226.526759302
2019-04-01,CLIENTES GRANDES,A5,16062.85,MARCA3,0.3103,0.92,20,20.9,1.1,13.638,219065.15,67975.92,151089.23,221154.69293369405
2019-05-01,CLIENTES GRANDES,A5,16627.65,MARCA3,0.3028,0.93,22,18.5,1.19,17.762,295340.32,89429.05,205911.27,290668.1225684939
2019-06-01,CLIENTES GRANDES,A5,16398.2,MARCA3,0.3096,0.93,20,16.4,1.13,19.848,325471.47,100765.97,224705.5,316031.9730715872
2019-07-01,CLIENTES GRANDES,A5,16504.11,MARCA3,0.2746,0.93,22,15.7,1.36,19.249,317687.61,87237.02,230450.59,335411.0843824406
2019-08-01,CLIENTES GRANDES,A5,17077.02,MARCA3,0.2903,1.0,21,15.3,1.48,21.165,361435.13,104924.62,256510.51,285920.6740488044
2019-09-01,CLIENTES GRANDES,A5,16465.14,MARCA3,0.2706,1.0,21,15.7,1.51,21.695,357211.21,96661.35,260549.86,447827.9467336212
2019-10-01,CLIENTES GRANDES,A5,16846.85,MARCA3,0.3132,1.0,22,16.7,1.65,16.818,283330.32,88739.06,194591.26,144532.91225218214
2019-11-01,CLIENTES GRANDES,A5,16230.65,MARCA3,0.2926,1.0,20,18.0,1.76,20.787,337386.52,98719.3,238667.22,328437.63065719465
2019-12-01,CLIENTES GRANDES,A5,17057.35,MARCA3,0.2922,1.0,21,19.6,1.88,16.464,280832.21,82059.17,198773.04,238398.29288949425
2020-01-01,CLIENTES GRANDES,A5,17073.09,MARCA3,0.2931,1.0,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
2020-02-01,CLIENTES GRANDES,A5,16404.97,MARCA3,0.2484,1.0,20,23.0,0.17,0.0,0.0,0.0,0.0,548152.7498621818
2020-03-01,CLIENTES GRANDES,A5,16240.45,MARCA3,0.2896,1.0,22,22.5,0.78,0.0,0.0,0.0,0.0,964045.1490658846
2020-04-01,CLIENTES GRANDES,A5,17073.09,MARCA3,0.2931,1.0,22,20.9,0.82,0.0,0.0,0.0,0.0,845982.6003106326
2020-05-01,CLIENTES GRANDES,A5,16404.97,MARCA3,0.2484,1.0,20,18.5,0.96,0.0,0.0,0.0,0.0,939911.531435352
2020-06-01,CLIENTES GRANDES,A5,16240.45,MARCA3,0.2896,1.0,22,16.4,1.1,0.0,0.0,0.0,0.0,1608941.819639035
2018-01-01,CLIENTES GRANDES,A6,16008.79,MARCA3,0.2572,0.85,22,22.2,0.18,3.867,61905.99,15922.22,45983.77,47643.105665367955
2018-02-01,CLIENTES GRANDES,A6,15593.53,MARCA3,0.2295,0.84,20,23.0,0.48,5.621,87651.23,20115.96,67535.27,97122.23302785335
2018-03-01,CLIENTES GRANDES,A6,16261.27,MARCA3,0.2301,0.87,20,22.5,0.97,5.471,88965.41,20470.94,68494.47,132586.3540801548
2018-04-01,CLIENTES GRANDES,A6,15619.35,MARCA3,0.2298,0.89,21,20.9,0.84,4.971,77643.79,17842.54,59801.25,42856.29151713403
2018-05-01,CLIENTES GRANDES,A6,15889.62,MARCA3,0.2855,0.88,22,18.5,0.88,8.036,127688.99,36455.21,91233.78,64484.42389905753
2018-06-01,CLIENTES GRANDES,A6,16586.64,MARCA3,0.2733,0.87,20,16.4,1.24,3.424,56792.66,15521.43,41271.23,70674.39758985677
2018-07-01,CLIENTES GRANDES,A6,16064.5,MARCA3,0.199,0.87,22,15.7,1.64,5.441,87406.94,17393.98,70012.96,88772.4913953069
2018-08-01,CLIENTES GRANDES,A6,15477.1,MARCA3,0.2076,0.87,22,15.3,1.81,4.133,63966.85,13279.52,50687.33,65076.21289694438
2018-09-01,CLIENTES GRANDES,A6,17040.83,MARCA3,0.2072,0.86,20,15.7,2.01,4.563,77757.31,16111.31,61646.0,76956.47938577592
2018-10-01,CLIENTES GRANDES,A6,15105.65,MARCA3,0.2452,0.84,22,16.7,2.14,1.699,25664.5,6292.94,19371.56,25220.83570365752
2018-11-01,CLIENTES GRANDES,A6,17140.83,MARCA3,0.2147,0.82,21,18.0,2.29,3.839,65803.65,14128.04,51675.61,68107.36300835373
2018-12-01,CLIENTES GRANDES,A6,16967.78,MARCA3,0.2333,0.85,20,19.6,2.48,3.693,62662.01,14619.05,48042.96,66587.62779251467
2019-01-01,CLIENTES GRANDES,A6,16498.2,MARCA3,0.29,0.85,22,22.2,0.06,2.441,40272.11,11678.91,28593.2,42947.95419158228
2019-02-01,CLIENTES GRANDES,A6,15961.27,MARCA3,0.2387,0.85,20,23.0,0.2,5.197,82950.72,19800.34,63150.38,86341.64774848959
2019-03-01,CLIENTES GRANDES,A6,16814.22,MARCA3,0.2393,0.85,21,22.5,0.88,7.009,117850.87,28201.71,89649.16,118226.81989774917
2019-04-01,CLIENTES GRANDES,A6,15815.99,MARCA3,0.223,0.85,20,20.9,1.1,2.491,39397.63,8785.67,30611.96,38763.64918956621
2019-05-01,CLIENTES GRANDES,A6,16997.8,MARCA3,0.2314,0.85,22,18.5,1.19,3.434,58370.45,13506.92,44863.53,56536.505558768615
2019-06-01,CLIENTES GRANDES,A6,16473.29,MARCA3,0.1694,0.85,20,16.4,1.13,3.724,61346.53,10392.1,50954.43,59663.18819687328
2019-07-01,CLIENTES GRANDES,A6,16590.8,MARCA3,0.1664,0.84,22,15.7,1.36,3.235,53671.24,8930.89,44740.35,75621.58833694916
2019-08-01,CLIENTES GRANDES,A6,16881.24,MARCA3,0.1394,0.91,21,15.3,1.48,6.584,111146.08,15493.76,95652.32,54806.06918698874
2019-09-01,CLIENTES GRANDES,A6,16604.49,MARCA3,0.344,0.92,21,15.7,1.51,3.939,65405.09,22499.35,42905.74,67575.27366909942
2019-10-01,CLIENTES GRANDES,A6,16633.03,MARCA3,0.2508,0.92,22,16.7,1.65,2.895,48152.62,12076.68,36075.94,22117.051185887336
2019-11-01,CLIENTES GRANDES,A6,16511.63,MARCA3,0.2661,0.92,20,18.0,1.76,2.95,48709.31,12961.55,35747.76,62590.26554822018
2019-12-01,CLIENTES GRANDES,A6,16695.32,MARCA3,0.2208,0.93,21,19.6,1.88,3.27,54593.7,12054.29,42539.41,60790.97211274081
2020-01-01,CLIENTES GRANDES,A6,16290.43,MARCA3,0.216,0.92,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
