MES/AÑO,TIPO CLIENTES,PRODUCTO,PRECIO POR TON (USD),MARCA,INVERSION,% TIENDAS IMPACTADAS,DIAS HABILES,TEMPERATURA,INFLACION,VENTAS (TON),VENTAS (PESOS),INVERSION (PESOS),INGRESOS
2018-01-01,CLIENTES GRANDES,A13,19390.87,MARCA1,0.2422,0.97,22,22.2,0.18,8.325,161428.99,39098.1,122330.89
2018-01-01,CLIENTES GRANDES,A14,20895.39,MARCA1,0.3411,0.94,22,22.2,0.18,12.738,266165.48,90789.05,175376.43
2018-01-01,CLIENTES GRANDES,A15,14298.85,MARCA4,0.3784,0.95,22,22.2,0.18,4.98,71208.27,26945.21,44263.06
2018-01-01,CLIENTES GRANDES,A16,16873.91,MARCA4,0.3099,0.88,22,22.2,0.18,3.431,57894.39,17941.47,39952.92
2018-01-01,CLIENTES GRANDES,A17,17221.6,MARCA5,0.2448,0.72,22,22.2,0.18,3.379,58191.79,14245.35,43946.44
2018-01-01,CLIENTES GRANDES,A18,10487.63,MARCA5,0.2273,0.96,22,22.2,0.18,30.702,321991.22,73188.6,248802.62
2018-01-01,CLIENTES GRANDES,A19,15580.92,MARCA5,0.2489,1.0,22,22.2,0.18,28.142,438478.25,109137.24,329341.01
2018-01-01,CLIENTES GRANDES,A20,12020.12,MARCA1,0.2493,1.0,22,22.2,0.18,47.22,567590.07,141500.2,426089.87
2018-01-01,CLIENTES GRANDES,A21,8875.43,MARCA1,0.2813,0.96,22,22.2,0.18,60.109,533493.22,150071.64,383421.58
2018-01-01,CLIENTES GRANDES,A22,17406.87,MARCA1,0.2312,0.85,22,22.2,0.18,5.713,99445.45,22991.79,76453.66
2018-01-01,CLIENTES GRANDES,A23,12684.89,MARCA6,0.3009,1.0,22,22.2,0.18,46.993,596101.04,179366.8,416734.24
2018-01-01,CLIENTES GRANDES,A24,12871.87,MARCA6,0.3147,0.92,22,22.2,0.18,6.925,89137.7,28051.63,61086.07
2018-01-01,CLIENTES PEQUEÑOS,A1,11974.78,MARCA1,0.3296,0.49,22,22.2,0.18,17.06,204289.75,67333.9,136955.85
2018-01-01,CLIENTES PEQUEÑOS,A2,16001.06,MARCA2,0.2392,0.25,22,22.2,0.18,26.181,418923.75,100206.56,318717.19
2018-01-01,CLIENTES PEQUEÑOS,A3,17422.3,MARCA2,0.2552,0.25,22,22.2,0.18,11.204,195199.45,49814.9,145384.55
2018-01-01,CLIENTES PEQUEÑOS,A4,13909.82,MARCA1,0.2642,0.71,22,22.2,0.18,58.85,818592.91,216272.25,602320.66
2018-01-01,CLIENTES PEQUEÑOS,A5,16142.56,MARCA3,0.2246,0.37,22,22.2,0.18,10.001,161441.74,36259.81,125181.93
2018-01-01,CLIENTES PEQUEÑOS,A6,16008.79,MARCA3,0.2572,0.07,22,22.2,0.18,1.383,22140.16,5694.45,16445.71
2018-01-01,CLIENTES PEQUEÑOS,A7,15643.92,MARCA3,0.2593,0.03,22,22.2,0.18,1.001,15659.56,4060.52,11599.04
2018-01-01,CLIENTES PEQUEÑOS,A8,11274.96,MARCA1,0.3192,0.22,22,22.2,0.18,8.134,91710.52,29274.0,62436.52
2018-01-01,CLIENTES PEQUEÑOS,A9,8664.26,MARCA1,0.2548,0.3,22,22.2,0.18,50.096,434044.77,110594.61,323450.16
2018-01-01,CLIENTES PEQUEÑOS,A10,20454.33,MARCA1,0.2624,0.29,22,22.2,0.18,13.348,273024.4,71641.6,201382.8
2018-01-01,CLIENTES PEQUEÑOS,A11,24241.6,MARCA1,0.3117,0.34,22,22.2,0.18,3.232,78348.85,24421.34,53927.51
2018-01-01,CLIENTES PEQUEÑOS,A14,20895.39,MARCA1,0.3411,0.4,22,22.2,0.18,4.023,84062.15,28673.6,55388.55
2018-01-01,CLIENTES PEQUEÑOS,A15,14298.85,MARCA4,0.3784,0.06,22,22.2,0.18,0.847,12111.13,4582.85,7528.28
2018-01-01,CLIENTES PEQUEÑOS,A16,16873.91,MARCA4,0.3099,0.04,22,22.2,0.18,1.49,25142.13,7791.55,17350.58
2018-01-01,CLIENTES PEQUEÑOS,A17,17221.6,MARCA5,0.2448,0.09,22,22.2,0.18,3.766,64856.55,15876.88,48979.67
2018-01-01,CLIENTES PEQUEÑOS,A18,10487.63,MARCA5,0.2273,0.79,22,22.2,0.18,185.472,1945161.71,442135.26,1503026.45
2018-01-01,CLIENTES PEQUEÑOS,A19,15580.92,MARCA5,0.2489,0.66,22,22.2,0.18,46.826,729592.16,181595.49,547996.67
2018-01-01,CLIENTES PEQUEÑOS,A20,12020.12,MARCA1,0.2493,0.61,22,22.2,0.18,35.717,429322.63,107030.13,322292.5
2018-01-01,CLIENTES PEQUEÑOS,A21,8875.43,MARCA1,0.2813,0.66,22,22.2,0.18,51.743,459241.37,129184.6,330056.77
2018-01-01,CLIENTES PEQUEÑOS,A22,17406.87,MARCA1,0.2312,0.44,22,22.2,0.18,16.233,282565.72,65329.19,217236.53
2018-01-01,CLIENTES PEQUEÑOS,A23,12684.89,MARCA6,0.3009,0.71,22,22.2,0.18,55.463,703542.05,211695.8,491846.25
2018-02-01,CLIENTES GRANDES,A1,11591.0,MARCA1,0.2624,0.93,20,23.0,0.48,10.449,121114.36,31780.41,89333.95
2018-02-01,CLIENTES GRANDES,A2,15518.31,MARCA2,0.2585,1.0,20,23.0,0.48,38.199,592783.92,153234.64,439549.28
2018-02-01,CLIENTES GRANDES,A3,17186.17,MARCA2,0.2253,0.84,20,23.0,0.48,3.957,68005.67,15321.68,52683.99
2018-02-01,CLIENTES GRANDES,A4,13835.55,MARCA1,0.2437,1.0,20,23.0,0.48,41.667,576485.86,140489.6,435996.26
2018-02-01,CLIENTES GRANDES,A5,15634.42,MARCA3,0.2508,0.94,20,23.0,0.48,20.971,327869.42,82229.65,245639.77
2018-02-01,CLIENTES GRANDES,A6,15593.53,MARCA3,0.2295,0.84,20,23.0,0.48,5.621,87651.23,20115.96,67535.27
2018-02-01,CLIENTES GRANDES,A7,15605.04,MARCA3,0.2555,0.87,20,23.0,0.48,5.042,78680.61,20102.9,58577.71
2018-02-01,CLIENTES GRANDES,A8,10832.29,MARCA1,0.1936,0.96,20,23.0,0.48,14.702,159256.33,30832.03,128424.3
2018-02-01,CLIENTES GRANDES,A9,8423.17,MARCA1,0.1898,0.93,20,23.0,0.48,9.35,78756.64,14948.01,63808.63
2018-02-01,CLIENTES GRANDES,A10,20012.53,MARCA1,0.2575,0.95,20,23.0,0.48,10.54,210932.07,54315.01,156617.06
2018-02-01,CLIENTES GRANDES,A11,24363.19,MARCA1,0.2732,0.94,20,23.0,0.48,10.027,244289.71,66739.95,177549.76
2018-02-01,CLIENTES GRANDES,A12,23210.23,MARCA1,0.2057,0.96,20,23.0,0.48,3.0,69630.69,14323.03,55307.66
2018-02-01,CLIENTES GRANDES,A13,18391.14,MARCA1,0.2136,0.96,20,23.0,0.48,4.789,88075.17,18812.86,69262.31
2018-02-01,CLIENTES GRANDES,A14,18842.47,MARCA1,0.2729,0.93,20,23.0,0.48,24.725,465880.07,127138.67,338741.4
2018-02-01,CLIENTES GRANDES,A15,13650.49,MARCA4,0.283,0.94,20,23.0,0.48,8.836,120615.73,34134.25,86481.48
2018-02-01,CLIENTES GRANDES,A16,15963.13,MARCA4,0.2437,0.87,20,23.0,0.48,3.096,49421.85,12044.1,37377.75
2018-02-01,CLIENTES GRANDES,A17,16853.2,MARCA5,0.262,0.73,20,23.0,0.48,6.863,115663.51,30303.84,85359.67
2018-02-01,CLIENTES GRANDES,A18,10228.02,MARCA5,0.1988,0.96,20,23.0,0.48,6.976,71350.67,14184.51,57166.16
2018-02-01,CLIENTES GRANDES,A19,14904.47,MARCA5,0.2415,1.0,20,23.0,0.48,34.197,509688.16,123089.69,386598.47
2018-02-01,CLIENTES GRANDES,A20,11232.34,MARCA1,0.2626,1.0,20,23.0,0.48,46.689,524426.72,137714.46,386712.26
2018-02-01,CLIENTES GRANDES,A21,8401.41,MARCA1,0.2403,0.96,20,23.0,0.48,65.64,551468.55,132517.89,418950.66
2018-02-01,CLIENTES GRANDES,A22,17069.58,MARCA1,0.2184,0.85,20,23.0,0.48,10.681,182320.18,39818.73,142501.45
2018-02-01,CLIENTES GRANDES,A23,12354.49,MARCA6,0.276,1.0,20,23.0,0.48,51.85,640580.31,176800.17,463780.14
2018-02-01,CLIENTES GRANDES,A24,12706.85,MARCA6,0.2742,0.91,20,23.0,0.48,13.221,167997.26,46064.85,121932.41
2018-02-01,CLIENTES PEQUEÑOS,A1,11591.0,MARCA1,0.2624,0.48,20,23.0,0.48,37.917,439495.95,115323.74,324172.21
2018-02-01,CLIENTES PEQUEÑOS,A2,15518.31,MARCA2,0.2585,0.26,20,23.0,0.48,33.977,527265.62,136298.16,390967.46
2018-02-01,CLIENTES PEQUEÑOS,A3,17186.17,MARCA2,0.2253,0.25,20,23.0,0.48,22.538,387341.9,87268.13,300073.77
2018-02-01,CLIENTES PEQUEÑOS,A4,13835.55,MARCA1,0.2437,0.71,20,23.0,0.48,93.575,1294661.59,315509.03,979152.56
2018-02-01,CLIENTES PEQUEÑOS,A5,15634.42,MARCA3,0.2508,0.35,20,23.0,0.48,20.916,327009.53,82013.99,244995.54
2018-02-01,CLIENTES PEQUEÑOS,A6,15593.53,MARCA3,0.2295,0.07,20,23.0,0.48,3.581,55840.43,12815.38,43025.05
2018-02-01,CLIENTES PEQUEÑOS,A7,15605.04,MARCA3,0.2555,0.03,20,23.0,0.48,2.093,32661.35,8344.97,24316.38
2018-02-01,CLIENTES PEQUEÑOS,A8,10832.29,MARCA1,0.1936,0.21,20,23.0,0.48,16.248,176003.05,34074.19,141928.86
2018-02-01,CLIENTES PEQUEÑOS,A9,8423.17,MARCA1,0.1898,0.32,20,23.0,0.48,122.861,1034879.09,196420.05,838459.04
2018-02-01,CLIENTES PEQUEÑOS,A10,20012.53,MARCA1,0.2575,0.29,20,23.0,0.48,21.548,431230.0,111041.72,320188.28
2018-02-01,CLIENTES PEQUEÑOS,A11,24363.19,MARCA1,0.2732,0.34,20,23.0,0.48,2.719,66243.51,18097.73,48145.78
2018-02-01,CLIENTES PEQUEÑOS,A14,18842.47,MARCA1,0.2729,0.39,20,23.0,0.48,6.976,131445.07,35871.36,95573.71
2018-02-01,CLIENTES PEQUEÑOS,A15,13650.49,MARCA4,0.283,0.05,20,23.0,0.48,5.733,78258.26,22147.09,56111.17
2018-02-01,CLIENTES PEQUEÑOS,A16,15963.13,MARCA4,0.2437,0.05,20,23.0,0.48,1.915,30569.39,7449.76,23119.63
2018-02-01,CLIENTES PEQUEÑOS,A17,16853.2,MARCA5,0.262,0.08,20,23.0,0.48,7.607,128202.29,33589.0,94613.29
2018-02-01,CLIENTES PEQUEÑOS,A18,10228.02,MARCA5,0.1988,0.79,20,23.0,0.48,415.4,4248719.51,844645.44,3404074.07
2018-02-01,CLIENTES PEQUEÑOS,A19,14904.47,MARCA5,0.2415,0.67,20,23.0,0.48,64.994,968701.12,233941.32,734759.8
2018-02-01,CLIENTES PEQUEÑOS,A20,11232.34,MARCA1,0.2626,0.61,20,23.0,0.48,59.564,669043.1,175690.72,493352.38
2018-02-01,CLIENTES PEQUEÑOS,A21,8401.41,MARCA1,0.2403,0.64,20,23.0,0.48,121.461,1020443.66,245212.61,775231.05
2018-02-01,CLIENTES PEQUEÑOS,A22,17069.58,MARCA1,0.2184,0.4,20,23.0,0.48,39.033,666276.92,145514.88,520762.04
2018-02-01,CLIENTES PEQUEÑOS,A23,12354.49,MARCA6,0.276,0.73,20,23.0,0.48,91.742,1133425.62,312825.47,820600.15
2018-03-01,CLIENTES GRANDES,A1,11928.65,MARCA1,0.2878,0.91,20,22.5,0.97,9.334,111342.02,32044.23,79297.79
2018-03-01,CLIENTES GRANDES,A2,16254.96,MARCA2,0.2989,1.0,20,22.5,0.97,37.422,608293.11,181818.81,426474.3
2018-03-01,CLIENTES GRANDES,A3,17242.35,MARCA2,0.2118,0.87,20,22.5,0.97,3.278,56520.42,11971.02,44549.4
2018-03-01,CLIENTES GRANDES,A4,13485.25,MARCA1,0.2329,1.0,20,22.5,0.97,34.622,466886.33,108737.83,358148.5
2018-03-01,CLIENTES GRANDES,A5,16070.42,MARCA3,0.2431,0.95,20,22.5,0.97,23.677,380499.33,92499.39,287999.94
2018-03-01,CLIENTES GRANDES,A6,16261.27,MARCA3,0.2301,0.87,20,22.5,0.97,5.471,88965.41,20470.94,68494.47
2018-03-01,CLIENTES GRANDES,A7,16261.48,MARCA3,0.2431,0.89,20,22.5,0.97,4.533,73713.29,17919.7,55793.59
2018-03-01,CLIENTES GRANDES,A8,11260.31,MARCA1,0.2181,0.97,20,22.5,0.97,19.799,222942.88,48623.84,174319.04
2018-03-01,CLIENTES GRANDES,A9,8650.74,MARCA1,0.2144,0.94,20,22.5,0.97,11.611,100443.74,21535.14,78908.6
2018-03-01,CLIENTES GRANDES,A10,20427.0,MARCA1,0.282,0.96,20,22.5,0.97,9.901,202247.73,57033.86,145213.87
2018-03-01,CLIENTES GRANDES,A11,23229.52,MARCA1,0.2058,0.95,20,22.5,0.97,10.451,242771.71,49962.42,192809.29
2018-03-01,CLIENTES GRANDES,A12,25542.28,MARCA1,0.1987,0.96,20,22.5,0.97,4.209,107507.46,21361.73,86145.73
2018-03-01,CLIENTES GRANDES,A13,19699.94,MARCA1,0.2183,0.96,20,22.5,0.97,6.802,133998.99,29251.98,104747.01
2018-03-01,CLIENTES GRANDES,A14,18753.23,MARCA1,0.275,0.99,20,22.5,0.97,24.607,461460.73,126901.7,334559.03
2018-03-01,CLIENTES GRANDES,A15,13793.47,MARCA4,0.3003,0.95,20,22.5,0.97,10.811,149121.2,44781.1,104340.1
2018-03-01,CLIENTES GRANDES,A16,16321.4,MARCA4,0.2455,0.89,20,22.5,0.97,3.556,58038.9,14248.55,43790.35
2018-03-01,CLIENTES GRANDES,A17,17255.0,MARCA5,0.2581,0.75,20,22.5,0.97,5.954,102736.27,26516.23,76220.04
2018-03-01,CLIENTES GRANDES,A18,10726.62,MARCA5,0.2567,0.95,20,22.5,0.97,24.018,257631.96,66134.12,191497.84
2018-03-01,CLIENTES GRANDES,A19,15742.37,MARCA5,0.2018,1.0,20,22.5,0.97,54.452,857203.53,172983.67,684219.86
2018-03-01,CLIENTES GRANDES,A20,12307.8,MARCA1,0.2386,1.0,20,22.5,0.97,64.229,790517.69,188617.52,601900.17
2018-03-01,CLIENTES GRANDES,A21,9070.67,MARCA1,0.2722,0.96,20,22.5,0.97,79.969,725372.41,197446.37,527926.04
2018-03-01,CLIENTES GRANDES,A22,17574.58,MARCA1,0.2379,0.85,20,22.5,0.97,8.095,142266.23,33845.14,108421.09
2018-03-01,CLIENTES GRANDES,A23,13024.49,MARCA6,0.2851,1.0,20,22.5,0.97,65.754,856412.32,244163.15,612249.17
2018-03-01,CLIENTES GRANDES,A24,12762.1,MARCA6,0.4264,0.93,20,22.5,0.97,8.026,102428.61,43675.56,58753.05
2018-03-01,CLIENTES PEQUEÑOS,A1,11928.65,MARCA1,0.2878,0.49,20,22.5,0.97,45.13,538339.97,154934.24,383405.73
2018-03-01,CLIENTES PEQUEÑOS,A2,16254.96,MARCA2,0.2989,0.27,20,22.5,0.97,24.652,400717.27,119774.39,280942.88
2018-03-01,CLIENTES PEQUEÑOS,A3,17242.35,MARCA2,0.2118,0.24,20,22.5,0.97,29.03,500545.42,106015.52,394529.9
2018-03-01,CLIENTES PEQUEÑOS,A4,13485.25,MARCA1,0.2329,0.72,20,22.5,0.97,148.518,2002802.36,466452.67,1536349.69
2018-03-01,CLIENTES PEQUEÑOS,A5,16070.42,MARCA3,0.2431,0.34,20,22.5,0.97,25.775,414215.08,100695.69,313519.39
2018-03-01,CLIENTES PEQUEÑOS,A6,16261.27,MARCA3,0.2301,0.07,20,22.5,0.97,3.616,58800.75,13530.05,45270.7
2018-03-01,CLIENTES PEQUEÑOS,A7,16261.48,MARCA3,0.2431,0.04,20,22.5,0.97,2.192,35645.16,8665.34,26979.82
2018-03-01,CLIENTES PEQUEÑOS,A8,11260.31,MARCA1,0.2181,0.25,20,22.5,0.97,20.453,230307.12,50229.98,180077.14
2018-03-01,CLIENTES PEQUEÑOS,A9,8650.74,MARCA1,0.2144,0.31,20,22.5,0.97,137.066,1185722.33,254218.87,931503.46
2018-03-01,CLIENTES PEQUEÑOS,A10,20427.0,MARCA1,0.282,0.29,20,22.5,0.97,27.917,570260.56,160813.48,409447.08
2018-03-01,CLIENTES PEQUEÑOS,A11,23229.52,MARCA1,0.2058,0.34,20,22.5,0.97,3.837,89131.67,18343.3,70788.37
2018-03-01,CLIENTES PEQUEÑOS,A14,18753.23,MARCA1,0.275,0.41,20,22.5,0.97,6.551,122852.41,33784.41,89068.0
2018-03-01,CLIENTES PEQUEÑOS,A15,13793.47,MARCA4,0.3003,0.06,20,22.5,0.97,4.551,62774.08,18851.06,43923.02
2018-03-01,CLIENTES PEQUEÑOS,A16,16321.4,MARCA4,0.2455,0.05,20,22.5,0.97,2.821,46042.67,11303.48,34739.19
2018-03-01,CLIENTES PEQUEÑOS,A17,17255.0,MARCA5,0.2581,0.1,20,22.5,0.97,9.76,168408.8,43466.31,124942.49
2018-03-01,CLIENTES PEQUEÑOS,A18,10726.62,MARCA5,0.2567,0.8,20,22.5,0.97,330.182,3541736.84,909163.85,2632572.99
2018-03-01,CLIENTES PEQUEÑOS,A19,15742.37,MARCA5,0.2018,0.68,20,22.5,0.97,51.678,813534.2,164171.2,649363.0
2018-03-01,CLIENTES PEQUEÑOS,A20,12307.8,MARCA1,0.2386,0.61,20,22.5,0.97,92.445,1137794.57,271477.78,866316.79
2018-03-01,CLIENTES PEQUEÑOS,A21,9070.67,MARCA1,0.2722,0.65,20,22.5,0.97,129.612,1175667.68,320016.74,855650.94
2018-03-01,CLIENTES PEQUEÑOS,A22,17574.58,MARCA1,0.2379,0.4,20,22.5,0.97,38.608,678519.38,161419.76,517099.62
2018-03-01,CLIENTES PEQUEÑOS,A23,13024.49,MARCA6,0.2851,0.73,20,22.5,0.97,78.026,1016248.86,289732.55,726516.31
2018-04-01,CLIENTES GRANDES,A1,11731.65,MARCA1,0.2838,0.93,21,20.9,0.84,14.156,166073.24,47131.59,118941.65
2018-04-01,CLIENTES GRANDES,A2,16170.84,MARCA2,0.2287,1.0,21,20.9,0.84,44.562,720604.97,164802.36,555802.61
2018-04-01,CLIENTES GRANDES,A3,17219.39,MARCA2,0.2832,0.88,21,20.9,0.84,3.311,57013.4,16146.19,40867.21
2018-04-01,CLIENTES GRANDES,A4,14531.94,MARCA1,0.2293,1.0,21,20.9,0.84,37.178,540268.47,123883.56,416384.91
2018-04-01,CLIENTES GRANDES,A5,16075.52,MARCA3,0.2772,0.95,21,20.9,0.84,20.502,329580.31,91359.66,238220.65
2018-04-01,CLIENTES GRANDES,A6,15619.35,MARCA3,0.2298,0.89,21,20.9,0.84,4.971,77643.79,17842.54,59801.25
2018-04-01,CLIENTES GRANDES,A7,16088.05,MARCA3,0.2607,0.9,21,20.9,0.84,3.772,60684.12,15820.35,44863.77
2018-04-01,CLIENTES GRANDES,A8,11416.32,MARCA1,0.1965,0.99,21,20.9,0.84,21.623,246855.09,48507.03,198348.06
2018-04-01,CLIENTES GRANDES,A9,8530.09,MARCA1,0.2225,0.92,21,20.9,0.84,11.357,96876.23,21554.96,75321.27
2018-04-01,CLIENTES GRANDES,A10,20425.5,MARCA1,0.2984,0.94,21,20.9,0.84,10.608,216673.7,64655.43,152018.27
2018-04-01,CLIENTES GRANDES,A11,27467.82,MARCA1,0.2629,0.95,21,20.9,0.84,7.414,203646.42,53538.64,150107.78
2018-04-01,CLIENTES GRANDES,A12,24418.65,MARCA1,0.1991,0.96,21,20.9,0.84,4.791,116989.75,23292.66,93697.09
2018-04-01,CLIENTES GRANDES,A13,19137.66,MARCA1,0.2302,0.96,21,20.9,0.84,7.46,142766.94,32864.95,109901.99
2018-04-01,CLIENTES GRANDES,A14,20510.12,MARCA1,0.2794,0.97,21,20.9,0.84,18.332,375991.52,105052.03,270939.49
2018-04-01,CLIENTES GRANDES,A15,13843.19,MARCA4,0.3802,0.94,21,20.9,0.84,11.317,156663.38,59563.42,97099.96
2018-04-01,CLIENTES GRANDES,A16,16413.03,MARCA4,0.2888,0.89,21,20.9,0.84,2.584,42411.27,12248.37,30162.9
2018-04-01,CLIENTES GRANDES,A17,16882.12,MARCA5,0.2825,0.75,21,20.9,0.84,7.496,126548.37,35749.91,90798.46
2018-04-01,CLIENTES GRANDES,A18,10454.63,MARCA5,0.202,0.95,21,20.9,0.84,9.45,98796.25,19956.84,78839.41
2018-04-01,CLIENTES GRANDES,A19,16040.87,MARCA5,0.2196,1.0,21,20.9,0.84,38.259,613707.65,134770.2,478937.45
2018-04-01,CLIENTES GRANDES,A20,12093.98,MARCA1,0.267,1.0,21,20.9,0.84,46.629,563930.19,150569.36,413360.83
2018-04-01,CLIENTES GRANDES,A21,9184.78,MARCA1,0.2953,0.96,21,20.9,0.84,43.021,395138.42,116684.38,278454.04
2018-04-01,CLIENTES GRANDES,A22,17219.93,MARCA1,0.2275,0.86,21,20.9,0.84,11.004,189488.11,43108.55,146379.56
2018-04-01,CLIENTES GRANDES,A23,12675.26,MARCA6,-0.0204,1.0,21,20.9,0.84,50.299,637552.9,-13006.08,650558.98
2018-04-01,CLIENTES GRANDES,A24,11596.52,MARCA6,0.278,0.93,21,20.9,0.84,10.805,125300.4,34833.51,90466.89
2018-04-01,CLIENTES PEQUEÑOS,A1,11731.65,MARCA1,0.2838,0.49,21,20.9,0.84,41.142,482663.54,136979.91,345683.63
2018-04-01,CLIENTES PEQUEÑOS,A2,16170.84,MARCA2,0.2287,0.27,21,20.9,0.84,45.783,740349.57,169317.95,571031.62
2018-04-01,CLIENTES PEQUEÑOS,A3,17219.39,MARCA2,0.2832,0.25,21,20.9,0.84,22.019,379153.75,107376.34,271777.41
2018-04-01,CLIENTES PEQUEÑOS,A4,14531.94,MARCA1,0.2293,0.72,21,20.9,0.84,92.798,1348534.97,309219.07,1039315.9
2018-04-01,CLIENTES PEQUEÑOS,A5,16075.52,MARCA3,0.2772,0.35,21,20.9,0.84,13.492,216890.92,60122.16,156768.76
2018-04-01,CLIENTES PEQUEÑOS,A6,15619.35,MARCA3,0.2298,0.07,21,20.9,0.84,3.794,59259.81,13617.9,45641.91
2018-04-01,CLIENTES PEQUEÑOS,A7,16088.05,MARCA3,0.2607,0.04,21,20.9,0.84,2.596,41764.58,10888.03,30876.55
2018-04-01,CLIENTES PEQUEÑOS,A8,11416.32,MARCA1,0.1965,0.25,21,20.9,0.84,19.08,217823.39,42802.3,175021.09
2018-04-01,CLIENTES PEQUEÑOS,A9,8530.09,MARCA1,0.2225,0.3,21,20.9,0.84,118.613,1011779.57,225120.95,786658.62
2018-04-01,CLIENTES PEQUEÑOS,A10,20425.5,MARCA1,0.2984,0.29,21,20.9,0.84,20.353,415720.2,124050.91,291669.29
2018-04-01,CLIENTES PEQUEÑOS,A11,27467.82,MARCA1,0.2629,0.36,21,20.9,0.84,4.104,112727.93,29636.17,83091.76
2018-04-01,CLIENTES PEQUEÑOS,A14,20510.12,MARCA1,0.2794,0.42,21,20.9,0.84,7.034,144268.18,40308.53,103959.65
2018-04-01,CLIENTES PEQUEÑOS,A15,13843.19,MARCA4,0.3802,0.06,21,20.9,0.84,4.655,64440.05,24500.11,39939.94
2018-04-01,CLIENTES PEQUEÑOS,A16,16413.03,MARCA4,0.2888,0.05,21,20.9,0.84,2.195,36026.6,10404.48,25622.12
2018-04-01,CLIENTES PEQUEÑOS,A17,16882.12,MARCA5,0.2825,0.11,21,20.9,0.84,5.937,100229.15,28314.73,71914.42
2018-04-01,CLIENTES PEQUEÑOS,A18,10454.63,MARCA5,0.202,0.81,21,20.9,0.84,341.354,3568729.77,720883.41,2847846.36
2018-04-01,CLIENTES PEQUEÑOS,A19,16040.87,MARCA5,0.2196,0.69,21,20.9,0.84,105.077,1685526.5,370141.62,1315384.88
2018-04-01,CLIENTES PEQUEÑOS,A20,12093.98,MARCA1,0.267,0.61,21,20.9,0.84,64.961,785637.03,209765.09,575871.94
2018-04-01,CLIENTES PEQUEÑOS,A21,9184.78,MARCA1,0.2953,0.66,21,20.9,0.84,67.851,623196.51,184029.93,439166.58
2018-04-01,CLIENTES PEQUEÑOS,A22,17219.93,MARCA1,0.2275,0.4,21,20.9,0.84,40.638,699783.52,159200.75,540582.77
2018-04-01,CLIENTES PEQUEÑOS,A23,12675.26,MARCA6,-0.0204,0.72,21,20.9,0.84,82.274,1042844.34,-21274.02,1064118.36
2018-05-01,CLIENTES GRANDES,A1,11784.4,MARCA1,0.3601,0.94,22,18.5,0.88,12.817,151040.65,54389.74,96650.91
2018-05-01,CLIENTES GRANDES,A2,15571.3,MARCA2,0.2936,1.0,22,18.5,0.88,50.492,786226.08,230835.98,555390.1
2018-05-01,CLIENTES GRANDES,A3,17204.57,MARCA2,0.2716,0.86,22,18.5,0.88,2.997,51562.1,14004.27,37557.83
2018-05-01,CLIENTES GRANDES,A4,13923.89,MARCA1,0.2935,1.0,22,18.5,0.88,32.327,450117.59,132109.51,318008.08
2018-05-01,CLIENTES GRANDES,A5,15667.79,MARCA3,0.2407,0.95,22,18.5,0.88,30.89,483978.03,116493.51,367484.52
2018-05-01,CLIENTES GRANDES,A6,15889.62,MARCA3,0.2855,0.88,22,18.5,0.88,8.036,127688.99,36455.21,91233.78
2018-05-01,CLIENTES GRANDES,A7,15267.95,MARCA3,0.3251,0.9,22,18.5,0.88,8.516,130021.86,42270.11,87751.75
2018-05-01,CLIENTES GRANDES,A8,11131.57,MARCA1,0.263,0.99,22,18.5,0.88,20.991,233662.79,61453.31,172209.48
